Субъект;Код субъекта;Удельный вес организаций, использовавших персональные компьютеры, в процентах;Удельный вес организаций, использовавших Интернет, в процентах;Доля организаций, использующих сеть Интернет для размещения заказов на товары, работы, услуги;Доля организаций, имевших веб-сайт в сети Интернет;Доля органов власти, имеющих доступ в сеть Интернет со скоростью не менее 2 Мбит/сек;Доля учреждений здравоохранения, использующих сеть Интернет;Доля домашних хозяйств, имеющих компьютер;Доля домашних хозяйств, имеющих доступ к сети Интернет;Число пользователей сети Интернет на 100 человек населения;Доля граждан, использующих механизм получения государственных и муниципальных услуг в электронной форме;Доля населения, являющегося активными пользователями сети Интернет;Доля населения, использовавшего сеть Интернет для заказа товаров и услуг;Доля населения, не использующего сеть Интернет по соображениям безопасности;Число квартирных телефонных аппаратов на 1000 человек населения в городской местности;Число квартирных телефонных аппаратов на 1000 человек населения в сельской местности;Число абонентских устройств сотовой связи на 1000 человек населения;Затраты на информационные и коммуникационные технологии, в расчете на одного жителя, тысяч рублей;Объем оказанных населению услуг связи, в расчете на одного жителя, рублей
Алтайский край;АЛТ;96,20;94,20;41,70;44,60;59,10;97,90;67,40;76,00;80,00;70,80;78,90;33,60;0,60;119,70;141,50;1719,10;2,28;5495,60
Амурская область;АМУ;95,10;91,70;40,10;41,70;55,60;97,10;61,50;74,70;81,00;76,20;79,90;27,10;0,00;78,60;32,70;1657,90;3,80;7661,60
Архангельская область;АРХ;94,90;88,70;42,10;48,10;67,20;96,30;74,59;77,50;81,00;82,20;81,09;37,60;0,10;88,90;80,20;;2,75;6461,30
Астраханская область;АСТ;95,70;93,80;46,30;51,30;72,30;95,60;76,09;79,50;85,00;84,40;84,30;35,60;0,20;83,10;61,40;1750,60;3,76;5254,10
Белгородская область;БЕЛ;98,20;96,70;52,50;58,70;70,30;100,00;62,70;70,90;78,00;84,30;77,00;38,40;0,40;146,60;87,50;1894,20;3,06;5258,10
Брянская область;БРЯ;95,50;93,60;40,70;50,20;64,20;97,60;61,90;69,00;78,00;77,50;75,00;24,20;0,20;170,70;65,50;1815,00;5,47;5351,50
Владимирская область;ВЛД;96,70;95,00;42,30;55,50;75,40;96,50;69,59;74,09;80,00;64,00;78,59;35,60;0,70;150,50;52,10;1851,20;3,47;5406,80
Волгоградская область;ВГГ;90,10;88,20;40,60;48,90;60,20;96,30;67,40;78,40;83,00;83,40;82,00;33,40;0,10;115,20;59,10;1772,40;2,52;5110,50
Вологодская область;ВЛГ;97,30;93,70;44,50;52,50;68,90;99,00;62,80;70,30;81,00;84,50;80,20;34,79;0,40;109,60;85,00;1927,70;7,45;5566,00
Воронежская область;ВОР;96,50;94,80;42,90;54,70;64,40;98,50;74,90;77,09;79,00;76,09;78,40;30,60;0,10;188,50;115,00;1914,10;2,47;5271,80
г. Москва;МСК;99,30;98,40;45,70;65,30;90,80;99,60;84,80;86,90;90,00;87,60;88,70;53,80;0,40;228,80;12,50;3188,80;117,81;9243,60
г. Санкт-Петербург;СПБ;93,70;93,10;46,20;63,00;82,80;98,10;84,70;85,30;89,00;77,50;88,10;47,30;0,50;198,30;;2863,10;16,30;11144,60
г.Севастополь;СВС;91,80;91,30;44,70;61,00;85,50;87,00;83,80;83,00;91,00;85,90;90,80;48,60;0,00;194,40;74,40;;2,14;1113,90
Еврейская автономная область;ЕВР;96,10;90,00;42,30;42,90;65,09;94,10;58,10;75,30;77,00;53,40;75,70;23,10;0,20;90,30;65,10;1612,40;1,36;3876,00
Забайкальский край;ЗАБ;96,00;93,10;40,60;43,30;51,20;98,80;54,40;65,30;73,00;44,30;72,00;21,10;0,70;72,70;51,90;1521,20;2,87;5544,50
Ивановская область;ИВН;96,10;93,90;42,40;52,80;67,40;94,80;60,20;64,80;79,00;73,30;78,00;31,70;0,40;121,40;43,10;1833,20;1,91;4616,40
Иркутская область;ИРК;88,30;85,20;37,90;45,30;64,50;92,00;69,09;74,50;79,00;55,10;77,50;39,10;0,80;88,90;22,60;1995,50;5,71;5589,80
Кабардино-Балкарская Республика;КБЛ;95,30;87,20;29,70;52,50;77,50;93,20;65,20;85,30;88,00;79,30;87,10;32,50;0,70;103,10;45,70;1405,80;0,66;4383,20
